,LIFESTAGE,PREMIUM_CUSTOMER,TOT_SALES
1,MIDAGE SINGLES/COUPLES,Mainstream,7.647283981808995
19,YOUNG SINGLES/COUPLES,Mainstream,7.558338927783639
14,RETIREES,Premium,7.4561736408063535
11,OLDER SINGLES/COUPLES,Premium,7.449766249859186
12,RETIREES,Budget,7.4434445102295905
9,OLDER SINGLES/COUPLES,Budget,7.430314554245666
8,OLDER FAMILIES,Premium,7.322944960686204
4,NEW FAMILIES,Mainstream,7.3178064516129036
3,NEW FAMILIES,Budget,7.297321131447587
15,YOUNG FAMILIES,Budget,7.287200606631106
10,OLDER SINGLES/COUPLES,Mainstream,7.2821159515230915
6,OLDER FAMILIES,Budget,7.269570379965458
17,YOUNG FAMILIES,Premium,7.266756032171582
7,OLDER FAMILIES,Mainstream,7.262394692502107
13,RETIREES,Mainstream,7.252261716202366
5,NEW FAMILIES,Premium,7.2316551290119575
16,YOUNG FAMILIES,Mainstream,7.189025335089486
2,MIDAGE SINGLES/COUPLES,Premium,7.112055744888024
0,MIDAGE SINGLES/COUPLES,Budget,7.074661354581674
20,YOUNG SINGLES/COUPLES,Premium,6.629851934405349
18,YOUNG SINGLES/COUPLES,Budget,6.61562432373945
