,PROD_NBR,PROD_NAME,TOT_SALES
3,4,Dorito Corn Chp     Supreme 380g,40352.0
13,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,36367.6
15,16,Smiths Crinkle Chips Salt & Vinegar 330g,34804.200000000004
101,102,Kettle Mozzarella   Basil & Pesto 175g,34457.4
6,7,Smiths Crinkle      Original 330g,34302.6
22,23,Cheezels Cheese 330g,34296.9
19,20,Doritos Cheese      Supreme 330g,33390.6
88,89,Kettle Sweet Chilli And Sour Cream 175g,33031.8
45,46,Kettle Original 175g,32740.2
31,32,Kettle Sea Salt     And Vinegar 175g,32589.000000000004
87,88,Kettle Honey Soy    Chicken 175g,32578.2
35,36,Kettle Chilli 175g,31271.4
64,65,Old El Paso Salsa   Dip Chnky Tom Ht300g,30513.3
58,59,Old El Paso Salsa   Dip Tomato Med 300g,30237.899999999998
56,57,Old El Paso Salsa   Dip Tomato Mild 300g,30033.899999999998
107,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,29021.399999999998
2,3,Kettle Sensations   Camembert & Fig 150g,28308.399999999998
112,113,Twisties Chicken270g,27852.999999999996
8,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,27770.199999999997
59,60,Kettle Tortilla ChpsFeta&Garlic 150g,27627.6
14,15,Twisties Cheese     270g,27572.399999999998
113,114,Kettle Sensations   Siracha Lime 150g,27567.8
73,74,Tostitos Splash Of  Lime 175g,27429.600000000002
16,17,Kettle Sensations   BBQ&Maple 150g,27185.999999999996
29,30,Doritos Corn Chips  Cheese Supreme 170g,27183.2
76,77,Doritos Corn Chips  Nacho Cheese 170g,26562.800000000003
89,90,Tostitos Smoked     Chipotle 175g,26474.800000000003
50,51,Doritos Mexicana    170g,26290.000000000004
46,47,Doritos Corn Chips  Original 170g,26228.4
111,112,Tyrrells Crisps     Ched & Chives 165g,26149.2
70,71,Twisties Cheese     Burger 250g,26096.7
62,63,Kettle 135g Swt Pot Sea Salt,26090.4
49,50,Tostitos Lightly    Salted 175g,25885.2
69,70,Tyrrells Crisps     Lightly Salted 165g,25498.2
41,42,Doritos Corn Chip Mexican Jalapeno 150g,23887.5
74,75,Cobs Popd Sea Salt  Chips 110g,23852.6
32,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,23772.8
92,93,Doritos Corn Chip Southern Chicken 150g,23735.399999999998
103,104,Infuzions Thai SweetChili PotatoMix 110g,23582.8
86,87,Infuzions BBQ Rib   Prawn Crackers 110g,23111.6
1,2,Cobs Popd Sour Crm  &Chives Chips 110g,22944.399999999998
30,31,Infzns Crn Crnchers Tangy Gcamole 110g,22800.0
48,49,Infuzions SourCream&Herbs Veg Strws 110g,22701.2
108,109,Pringles Barbeque   134g,22614.4
25,26,Pringles Sweet&Spcy BBQ 134g,22477.5
24,25,Pringles SourCream  Onion 134g,22410.9
80,81,Pringles Original   Crisps 134g,22355.4
67,68,Pringles Chicken    Salt Crips 134g,22063.100000000002
33,34,Pringles Slt Vingar 134g,21963.2
61,62,Pringles Mystery    Flavour 134g,21937.3
98,99,Pringles Sthrn FriedChicken 134g,21833.7
23,24,Grain Waves         Sweet Chilli 210g,21700.8
51,52,Grain Waves Sour    Cream&Chives 210G,21348.0
27,28,Thins Potato Chips  Hot & Spicy 175g,20410.5
43,44,Thins Chips Light&  Tangy 175g,20113.5
39,40,Thins Chips Seasonedchicken 175g,19753.8
77,78,Thins Chips Salt &  Vinegar 175g,19575.6
17,18,Cheetos Chs & Bacon Balls 190g,9243.3
110,111,Smiths Chip Thinly  Cut Original 175g,9135.0
21,22,Thins Chips         Originl saltd 175g,8999.1
11,12,Natural Chip Co     Tmato Hrb&Spce 175g,8934.0
79,80,Natural ChipCo Sea  Salt & Vinegr 175g,8733.0
84,85,RRD Honey Soy       Chicken 165g,8649.0
44,45,Smiths Thinly Cut   Roast Chicken 175g,8598.0
52,53,RRD Sweet Chilli &  Sour Cream 165g,8574.0
83,84,GrnWves Plus Btroot & Chilli Jam 180g,8568.4
5,6,RRD Lime & Pepper   165g,8379.0
96,97,RRD Salt & Vinegar  165g,8364.0
4,5,Natural Chip        Compny SeaSalt175g,8331.0
36,37,Smiths Thinly       Swt Chli&S/Cream175G,8325.0
68,69,Smiths Chip Thinly  S/Cream&Onion 175g,8313.0
105,106,Natural ChipCo      Hony Soy Chckn175g,8274.0
78,79,Smiths Chip Thinly  CutSalt/Vinegr175g,8196.0
60,61,Smiths Crinkle Cut  Chips Chicken 170g,8183.8
0,1,Smiths Crinkle Cut  Chips Barbecue 170g,8125.8
99,100,Smiths Crinkle Cut  Chips Chs&Onion170g,8111.3
10,11,RRD Pc Sea Salt     165g,8106.0
97,98,NCC Sour Cream &    Garden Chives 175g,8046.0
7,8,Smiths Crinkle Cut  Chips Original 170g,8001.099999999999
72,73,Smiths Crinkle Cut  Salt & Vinegar 170g,7986.599999999999
28,29,French Fries Potato Chips 175g,7929.0
9,10,RRD SR Slow Rst     Pork Belly 150g,7778.700000000001
47,48,Red Rock Deli Sp    Salt & Truffle 150G,7678.8
66,67,RRD Chilli&         Coconut 150g,7654.500000000001
85,86,Cheetos Puffs 165g,7641.2
12,13,Red Rock Deli Thai  Chilli&Lime 150g,7589.700000000001
81,82,Smith Crinkle Cut   Mac N Cheese 150g,7464.6
102,103,RRD Steak &         Chimuchurri 150g,7449.3
63,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,7438.500000000001
18,19,Smiths Crinkle Cut  Snag&Sauce 150g,7412.6
57,58,Red Rock Deli Chikn&Garlic Aioli 150g,7384.500000000001
38,39,Smiths Crinkle Cut  Tomato Salsa 150g,7168.2
40,41,Doritos Salsa Mild  300g,7150.0
42,43,Smith Crinkle Cut   Bolognese 150g,7118.8
100,101,Doritos Salsa       Medium 300g,7111.0
106,107,Smiths Crinkle Cut  French OnionDip 150g,7046.0
37,38,Infuzions Mango     Chutny Papadums 70g,6852.0
93,94,Burger Rings 220g,6830.999999999999
90,91,CCs Tasty Cheese    175g,6069.0
53,54,CCs Original 175g,6048.0
65,66,CCs Nacho Cheese    175g,5961.900000000001
55,56,Cheezels Cheese Box 125g,5733.0
26,27,WW Supreme Cheese   Corn Chips 200g,5390.3
109,110,WW Original Corn    Chips 200g,5367.5
95,96,WW Original Stacked Chips 160g,5323.8
20,21,WW Sour Cream &OnionStacked Chips 160g,5323.8
82,83,WW D/Style Chip     Sea Salt 200g,5249.7
104,105,Woolworths Cheese   Rings 190g,5169.6
54,55,Snbts Whlgrn Crisps Cheddr&Mstrd 90g,5076.2
91,92,WW Crinkle Cut      Chicken 175g,4702.2
94,95,Sunbites Whlegrn    Crisps Frch/Onin 90g,4600.2
71,72,WW Crinkle Cut      Original 175g,4532.2
34,35,Woolworths Mild     Salsa 300g,4234.5
75,76,Woolworths Medium   Salsa 300g,4050.0
