,LIFESTAGE,PREMIUM_CUSTOMER,PROD_NAME,TOT_SALES
2177,YOUNG SINGLES/COUPLES,Mainstream,Dorito Corn Chp     Supreme 380g,3659.5
2252,YOUNG SINGLES/COUPLES,Mainstream,Smiths Crnkle Chip  Orgnl Big Bag 380g,3516.4
2199,YOUNG SINGLES/COUPLES,Mainstream,Kettle Mozzarella   Basil & Pesto 175g,3380.4
2243,YOUNG SINGLES/COUPLES,Mainstream,Smiths Crinkle Chips Salt & Vinegar 330g,3317.4
761,OLDER FAMILIES,Budget,Smiths Crinkle Chips Salt & Vinegar 330g,3186.3
2178,YOUNG SINGLES/COUPLES,Mainstream,Doritos Cheese      Supreme 330g,3186.3
695,OLDER FAMILIES,Budget,Dorito Corn Chp     Supreme 380g,3123.25
690,OLDER FAMILIES,Budget,Cheezels Cheese 330g,3095.1
2172,YOUNG SINGLES/COUPLES,Mainstream,Cheezels Cheese 330g,3089.4
2205,YOUNG SINGLES/COUPLES,Mainstream,Kettle Sweet Chilli And Sour Cream 175g,3088.8
2242,YOUNG SINGLES/COUPLES,Mainstream,Smiths Crinkle      Original 330g,3060.9
1493,RETIREES,Mainstream,Dorito Corn Chp     Supreme 380g,3038.75
717,OLDER FAMILIES,Budget,Kettle Mozzarella   Basil & Pesto 175g,3029.4
770,OLDER FAMILIES,Budget,Smiths Crnkle Chip  Orgnl Big Bag 380g,2991.3
2200,YOUNG SINGLES/COUPLES,Mainstream,Kettle Original 175g,2964.6000000000004
760,OLDER FAMILIES,Budget,Smiths Crinkle      Original 330g,2964.0
2198,YOUNG SINGLES/COUPLES,Mainstream,Kettle Honey Soy    Chicken 175g,2916.0
696,OLDER FAMILIES,Budget,Doritos Cheese      Supreme 330g,2907.0
1558,RETIREES,Mainstream,Smiths Crinkle      Original 330g,2884.2000000000003
1265,OLDER SINGLES/COUPLES,Premium,Dorito Corn Chp     Supreme 380g,2882.75
1151,OLDER SINGLES/COUPLES,Mainstream,Dorito Corn Chp     Supreme 380g,2879.5
723,OLDER FAMILIES,Budget,Kettle Sweet Chilli And Sour Cream 175g,2867.4
2201,YOUNG SINGLES/COUPLES,Mainstream,Kettle Sea Salt     And Vinegar 175g,2851.2000000000003
1514,RETIREES,Mainstream,Kettle Honey Soy    Chicken 175g,2845.8
923,OLDER FAMILIES,Premium,Dorito Corn Chp     Supreme 380g,2840.5
1488,RETIREES,Mainstream,Cheezels Cheese 330g,2821.5
2216,YOUNG SINGLES/COUPLES,Mainstream,Old El Paso Salsa   Dip Tomato Mild 300g,2815.2
2208,YOUNG SINGLES/COUPLES,Mainstream,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2778.3999999999996
1568,RETIREES,Mainstream,Smiths Crnkle Chip  Orgnl Big Bag 380g,2755.3
2181,YOUNG SINGLES/COUPLES,Mainstream,Doritos Corn Chips  Cheese Supreme 170g,2732.4
2264,YOUNG SINGLES/COUPLES,Mainstream,Tostitos Splash Of  Lime 175g,2723.6000000000004
716,OLDER FAMILIES,Budget,Kettle Honey Soy    Chicken 175g,2700.0
2215,YOUNG SINGLES/COUPLES,Mainstream,Old El Paso Salsa   Dip Tomato Med 300g,2697.8999999999996
1037,OLDER SINGLES/COUPLES,Budget,Dorito Corn Chp     Supreme 380g,2697.5
2265,YOUNG SINGLES/COUPLES,Mainstream,Twisties Cheese     270g,2695.6
1260,OLDER SINGLES/COUPLES,Premium,Cheezels Cheese 330g,2684.7000000000003
1112,OLDER SINGLES/COUPLES,Budget,Smiths Crnkle Chip  Orgnl Big Bag 380g,2684.5
1721,YOUNG FAMILIES,Budget,Dorito Corn Chp     Supreme 380g,2674.75
2214,YOUNG SINGLES/COUPLES,Mainstream,Old El Paso Salsa   Dip Chnky Tom Ht300g,2667.2999999999997
2197,YOUNG SINGLES/COUPLES,Mainstream,Kettle Chilli 175g,2662.2000000000003
2203,YOUNG SINGLES/COUPLES,Mainstream,Kettle Sensations   Camembert & Fig 150g,2645.0
719,OLDER FAMILIES,Budget,Kettle Sea Salt     And Vinegar 175g,2640.6000000000004
1559,RETIREES,Mainstream,Smiths Crinkle Chips Salt & Vinegar 330g,2633.4
1515,RETIREES,Mainstream,Kettle Mozzarella   Basil & Pesto 175g,2629.8
2202,YOUNG SINGLES/COUPLES,Mainstream,Kettle Sensations   BBQ&Maple 150g,2626.6
1494,RETIREES,Mainstream,Doritos Cheese      Supreme 330g,2616.3
2267,YOUNG SINGLES/COUPLES,Mainstream,Twisties Chicken270g,2608.2
718,OLDER FAMILIES,Budget,Kettle Original 175g,2581.2000000000003
732,OLDER FAMILIES,Budget,Old El Paso Salsa   Dip Chnky Tom Ht300g,2580.6
1065,OLDER SINGLES/COUPLES,Budget,Kettle Sweet Chilli And Sour Cream 175g,2575.8
1330,OLDER SINGLES/COUPLES,Premium,Smiths Crinkle      Original 330g,2559.3
1517,RETIREES,Mainstream,Kettle Sea Salt     And Vinegar 175g,2554.2000000000003
1061,OLDER SINGLES/COUPLES,Budget,Kettle Sea Salt     And Vinegar 175g,2538.0
1716,YOUNG FAMILIES,Budget,Cheezels Cheese 330g,2525.1
2183,YOUNG SINGLES/COUPLES,Mainstream,Doritos Corn Chips  Original 170g,2521.2000000000003
2207,YOUNG SINGLES/COUPLES,Mainstream,Kettle Tortilla ChpsFeta&Garlic 150g,2516.2
1532,RETIREES,Mainstream,Old El Paso Salsa   Dip Tomato Mild 300g,2514.2999999999997
1516,RETIREES,Mainstream,Kettle Original 175g,2511.0
1521,RETIREES,Mainstream,Kettle Sweet Chilli And Sour Cream 175g,2511.0
1796,YOUNG FAMILIES,Budget,Smiths Crnkle Chip  Orgnl Big Bag 380g,2507.5
1744,YOUNG FAMILIES,Budget,Kettle Original 175g,2505.6000000000004
1787,YOUNG FAMILIES,Budget,Smiths Crinkle Chips Salt & Vinegar 330g,2502.3
1103,OLDER SINGLES/COUPLES,Budget,Smiths Crinkle Chips Salt & Vinegar 330g,2502.3
734,OLDER FAMILIES,Budget,Old El Paso Salsa   Dip Tomato Mild 300g,2499.0
1226,OLDER SINGLES/COUPLES,Mainstream,Smiths Crnkle Chip  Orgnl Big Bag 380g,2495.7000000000003
733,OLDER FAMILIES,Budget,Old El Paso Salsa   Dip Tomato Med 300g,2488.7999999999997
1531,RETIREES,Mainstream,Old El Paso Salsa   Dip Tomato Med 300g,2488.7999999999997
1075,OLDER SINGLES/COUPLES,Budget,Old El Paso Salsa   Dip Tomato Med 300g,2488.7999999999997
1786,YOUNG FAMILIES,Budget,Smiths Crinkle      Original 330g,2479.5
1286,OLDER SINGLES/COUPLES,Premium,Kettle Honey Soy    Chicken 175g,2478.6000000000004
1059,OLDER SINGLES/COUPLES,Budget,Kettle Mozzarella   Basil & Pesto 175g,2478.6000000000004
1530,RETIREES,Mainstream,Old El Paso Salsa   Dip Chnky Tom Ht300g,2463.2999999999997
1524,RETIREES,Mainstream,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2461.0
1331,OLDER SINGLES/COUPLES,Premium,Smiths Crinkle Chips Salt & Vinegar 330g,2456.7000000000003
699,OLDER FAMILIES,Budget,Doritos Corn Chips  Cheese Supreme 170g,2455.2000000000003
1742,YOUNG FAMILIES,Budget,Kettle Honey Soy    Chicken 175g,2440.8
2268,YOUNG SINGLES/COUPLES,Mainstream,Tyrrells Crisps     Ched & Chives 165g,2436.0
785,OLDER FAMILIES,Budget,Twisties Chicken270g,2433.3999999999996
1399,RETIREES,Budget,Kettle Chilli 175g,2424.6000000000004
1519,RETIREES,Mainstream,Kettle Sensations   Camembert & Fig 150g,2424.2
1102,OLDER SINGLES/COUPLES,Budget,Smiths Crinkle      Original 330g,2422.5
1038,OLDER SINGLES/COUPLES,Budget,Doritos Cheese      Supreme 330g,2422.5
1032,OLDER SINGLES/COUPLES,Budget,Cheezels Cheese 330g,2422.5
715,OLDER FAMILIES,Budget,Kettle Chilli 175g,2419.2000000000003
1722,YOUNG FAMILIES,Budget,Doritos Cheese      Supreme 330g,2416.8
2182,YOUNG SINGLES/COUPLES,Mainstream,Doritos Corn Chips  Nacho Cheese 170g,2415.6000000000004
2206,YOUNG SINGLES/COUPLES,Mainstream,Kettle Tortilla ChpsBtroot&Ricotta 150g,2410.3999999999996
1285,OLDER SINGLES/COUPLES,Premium,Kettle Chilli 175g,2403.0
783,OLDER FAMILIES,Budget,Twisties Cheese     270g,2392.0
726,OLDER FAMILIES,Budget,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2387.3999999999996
1152,OLDER SINGLES/COUPLES,Mainstream,Doritos Cheese      Supreme 330g,2376.9
1520,RETIREES,Mainstream,Kettle Sensations   Siracha Lime 150g,2369.0
2269,YOUNG SINGLES/COUPLES,Mainstream,Tyrrells Crisps     Lightly Salted 165g,2364.6
1581,RETIREES,Mainstream,Twisties Cheese     270g,2364.3999999999996
1513,RETIREES,Mainstream,Kettle Chilli 175g,2359.8
1582,RETIREES,Mainstream,Twisties Cheese     Burger 250g,2356.4
1759,YOUNG FAMILIES,Budget,Old El Paso Salsa   Dip Tomato Med 300g,2356.2
1523,RETIREES,Mainstream,Kettle Tortilla ChpsFeta&Garlic 150g,2355.2
1340,OLDER SINGLES/COUPLES,Premium,Smiths Crnkle Chip  Orgnl Big Bag 380g,2348.2000000000003
1060,OLDER SINGLES/COUPLES,Budget,Kettle Original 175g,2343.6000000000004
721,OLDER FAMILIES,Budget,Kettle Sensations   Camembert & Fig 150g,2341.3999999999996
784,OLDER FAMILIES,Budget,Twisties Cheese     Burger 250g,2339.2
1288,OLDER SINGLES/COUPLES,Premium,Kettle Original 175g,2338.2000000000003
2204,YOUNG SINGLES/COUPLES,Mainstream,Kettle Sensations   Siracha Lime 150g,2336.7999999999997
1498,RETIREES,Mainstream,Doritos Corn Chips  Nacho Cheese 170g,2332.0
2184,YOUNG SINGLES/COUPLES,Mainstream,Doritos Mexicana    170g,2327.6000000000004
1401,RETIREES,Budget,Kettle Mozzarella   Basil & Pesto 175g,2327.4
1172,OLDER SINGLES/COUPLES,Mainstream,Kettle Honey Soy    Chicken 175g,2322.0
1743,YOUNG FAMILIES,Budget,Kettle Mozzarella   Basil & Pesto 175g,2311.2000000000003
1518,RETIREES,Mainstream,Kettle Sensations   BBQ&Maple 150g,2309.2
1287,OLDER SINGLES/COUPLES,Premium,Kettle Mozzarella   Basil & Pesto 175g,2305.8
1407,RETIREES,Budget,Kettle Sweet Chilli And Sour Cream 175g,2300.4
1607,RETIREES,Premium,Dorito Corn Chp     Supreme 380g,2297.75
722,OLDER FAMILIES,Budget,Kettle Sensations   Siracha Lime 150g,2290.7999999999997
1745,YOUNG FAMILIES,Budget,Kettle Sea Salt     And Vinegar 175g,2284.2000000000003
724,OLDER FAMILIES,Budget,Kettle Tortilla ChpsBtroot&Ricotta 150g,2281.6
2263,YOUNG SINGLES/COUPLES,Mainstream,Tostitos Smoked     Chipotle 175g,2279.2000000000003
1497,RETIREES,Mainstream,Doritos Corn Chips  Cheese Supreme 170g,2274.8
1454,RETIREES,Budget,Smiths Crnkle Chip  Orgnl Big Bag 380g,2271.5
1170,OLDER SINGLES/COUPLES,Mainstream,Kettle 135g Swt Pot Sea Salt,2263.8
1289,OLDER SINGLES/COUPLES,Premium,Kettle Sea Salt     And Vinegar 175g,2251.8
2196,YOUNG SINGLES/COUPLES,Mainstream,Kettle 135g Swt Pot Sea Salt,2247.0
1175,OLDER SINGLES/COUPLES,Mainstream,Kettle Sea Salt     And Vinegar 175g,2246.4
1380,RETIREES,Budget,Doritos Cheese      Supreme 330g,2245.8
1291,OLDER SINGLES/COUPLES,Premium,Kettle Sensations   Camembert & Fig 150g,2244.7999999999997
1057,OLDER SINGLES/COUPLES,Budget,Kettle Chilli 175g,2241.0
1064,OLDER SINGLES/COUPLES,Budget,Kettle Sensations   Siracha Lime 150g,2240.2
2266,YOUNG SINGLES/COUPLES,Mainstream,Twisties Cheese     Burger 250g,2236.0
2262,YOUNG SINGLES/COUPLES,Mainstream,Tostitos Lightly    Salted 175g,2235.2000000000003
1066,OLDER SINGLES/COUPLES,Budget,Kettle Tortilla ChpsBtroot&Ricotta 150g,2231.0
1500,RETIREES,Mainstream,Doritos Mexicana    170g,2230.8
1758,YOUNG FAMILIES,Budget,Old El Paso Salsa   Dip Chnky Tom Ht300g,2228.7
1522,RETIREES,Mainstream,Kettle Tortilla ChpsBtroot&Ricotta 150g,2226.3999999999996
1293,OLDER SINGLES/COUPLES,Premium,Kettle Sweet Chilli And Sour Cream 175g,2224.8
1058,OLDER SINGLES/COUPLES,Budget,Kettle Honey Soy    Chicken 175g,2224.8
1217,OLDER SINGLES/COUPLES,Mainstream,Smiths Crinkle Chips Salt & Vinegar 330g,2223.0
1304,OLDER SINGLES/COUPLES,Premium,Old El Paso Salsa   Dip Tomato Mild 300g,2218.5
1445,RETIREES,Budget,Smiths Crinkle Chips Salt & Vinegar 330g,2217.3
714,OLDER FAMILIES,Budget,Kettle 135g Swt Pot Sea Salt,2213.4
1171,OLDER SINGLES/COUPLES,Mainstream,Kettle Chilli 175g,2208.6000000000004
1173,OLDER SINGLES/COUPLES,Mainstream,Kettle Mozzarella   Basil & Pesto 175g,2203.2000000000003
1379,RETIREES,Budget,Dorito Corn Chp     Supreme 380g,2190.5
2194,YOUNG SINGLES/COUPLES,Mainstream,Infuzions Thai SweetChili PotatoMix 110g,2188.7999999999997
1266,OLDER SINGLES/COUPLES,Premium,Doritos Cheese      Supreme 330g,2177.4
1067,OLDER SINGLES/COUPLES,Budget,Kettle Tortilla ChpsFeta&Garlic 150g,2162.0
702,OLDER FAMILIES,Budget,Doritos Mexicana    170g,2160.4
1578,RETIREES,Mainstream,Tostitos Lightly    Salted 175g,2160.4
725,OLDER FAMILIES,Budget,Kettle Tortilla ChpsFeta&Garlic 150g,2157.3999999999996
1216,OLDER SINGLES/COUPLES,Mainstream,Smiths Crinkle      Original 330g,2148.9
720,OLDER FAMILIES,Budget,Kettle Sensations   BBQ&Maple 150g,2148.2
1374,RETIREES,Budget,Cheezels Cheese 330g,2143.2000000000003
1499,RETIREES,Mainstream,Doritos Corn Chips  Original 170g,2142.8
1190,OLDER SINGLES/COUPLES,Mainstream,Old El Paso Salsa   Dip Tomato Mild 300g,2136.8999999999996
